,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
3140,Benazir,['0057882'],17 Jun 1964,Drama,"Meena Kumari, Ashok Kumar, Shashi Kapoor, Tanuja","Anwar lives with his brother, Nawab, the Nawab's wife, and their child, in a wealthy upper class neighborhood. Anwar is in love with Shahida, and would like to marry her. The Nawab has a ...",7.2,21,1964
3141,Aaj Ka Robin Hood,['0123370'],01 Feb 1988,Drama,"Anil Chatterjee, Utpal Dutt, Rabi Ghosh","Jatin Chatterjee lives a poor lifestyle in India circa the British rule. He is amongst the thousands who are actively agitating for the British to quit India. One day while on the run from authorities, he takes shelter on a tree and ",7.0,27,1988
3142,Bawre Nain,['0042233'],N/A,"Drama, Romance","Raj Kapoor, Geeta Bali, Vijayalaxmi, Jaswant","Chand lives in a small rural town in India. He is unable to pay the rent, and his landlord evicts him. He re-locates to another town and meets with a young woman named Tara. Both are ...",7.0,35,1950
3143,Gaon Hamara Shaher Tumhara,['0357691'],N/A,"Drama, Family, Romance","Rajendra Kumar, Rekha, Sujit Kumar","Chandershekhar Pandey and his wife, Lajwanti, come to visit Brij Bhushan and his widowed mother in their village. They assure Brij's mom that in exchange of their land, they will get Brij a small shop in Bombay, and in this way they ",6.8,30,1972
3144,Shatranj,['0108109'],17 Dec 1993,"Comedy, Drama, Romance","Jackie Shroff, Juhi Chawla, Mithun Chakraborty",Dharamraj dislikes women and has told his younger brothers to stay away from them.,6.3,97,1993
3145,Raja Saab,['0371908'],N/A,Romance,"Shashi Kapoor, Nanda, Kamal Kapoor, Azra","Born and brought up in an orphanage, it has always been Rajoo's dream of becoming a wealthy man, particularly a Prince of any region. His dreams land him in trouble when he misbehaves with ...",6.3,36,1969
3146,Krishan Avtaar,['0490440'],25 Jun 1993,Action,"Mithun Chakraborty, Somy Ali, Hashmat Khan, Paresh Rawal","Police Inspector Krishan Kumar lives a middle class life with his lovely wife, Suman. Suman gets pregnant and gives birth to a baby girl but tragically passes away, leaving Krishan widowed,...",5.9,30,1993
3147,Suhaagan,['14223170'],N/A,N/A,"Ali Ijaz, Mumtaz, Sultan Rahi",N/A,N/A,N/A,1986
3148,Jurmana,['0079382'],11 May 1979,"Drama, Romance","Rakhee Gulzar, Amitabh Bachchan, Shreeram Lagoo","Inder, a contractor who believes in the power of money, places a bet with his friend Prakash to woo Rama, a simple girl. Rama is charmed by Inder but an event forces her to leave the city.",6.8,180,1979
3149,Anari,['0052560'],16 Jan 1959,"Comedy, Drama, Musical","Raj Kapoor, Nutan, Lalita Pawar","A poor young man gets employed by a rich man admiring his honesty. But when he gets suspected in a lady's murder case, he need to prove his innocence.",7.9,748,1959
